date,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_400,pills_400,total_prescribed_dose_400,total_dose_per_prescription_400,average_daily_dose_400,prescriptions_600,pills_600,total_prescribed_dose_600,total_dose_per_prescription_600,average_daily_dose_600,prescriptions_800,pills_800,total_prescribed_dose_800,total_dose_per_prescription_800,average_daily_dose_800,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose
2018-05-01,167571,15545280,1554528000,9276.831910056037,309.2277303352012,368490,41385502,12415650600,33693.3175934218,1123.1105864473934,29160,2934328,1173731200,40251.412894375855,1341.7137631458618,51927,4639721,2783832600,53610.5032064244,1787.01677354748,2718,208926,167140800,61494.03973509934,2049.801324503311,619866,64713757,18094883200,29191.60463713125,973.0534879043751
2018-06-01,164624,15262649,1526264900,9271.217440956361,309.04058136521206,359267,40344034,12103210200,33688.62211113183,1122.954070371061,28748,2869655,1147862000,39928.41241129818,1330.947080376606,50999,4560998,2736598800,53659.8521539638,1788.66173846546,2734,209664,167731200,61350.10972933431,2045.003657644477,606372,63247000,17681667100,29159.76842598273,971.9922808660909
2018-07-01,166351,15361725,1536172500,9234.525190711207,307.81750635704026,362765,40664095,12199228500,33628.46057364961,1120.9486857883203,29238,2896266,1158506400,39623.31212805254,1320.7770709350846,51990,4628488,2777092800,53415.90305828044,1780.5301019426813,2787,210795,168636000,60508.073196986006,2016.935773232867,613131,63761369,17839636200,29095.961874379213,969.8653958126404
2018-08-01,170942,15746523,1574652300,9211.61739069392,307.0539130231307,371888,41524518,12457355400,33497.599814998066,1116.5866604999355,30276,2987385,1194954000,39468.688069758224,1315.6229356586075,53971,4836011,2901606600,53762.32791684423,1792.077597228141,2760,213873,171098400,61992.17391304348,2066.4057971014495,629837,65308310,18299666700,29054.607303159388,968.486910105313
2018-09-01,160412,14782783,1478278300,9215.509438196643,307.1836479398881,347390,38839324,11651797200,33540.968939808285,1118.0322979936095,28143,2791639,1116655600,39677.91635575454,1322.5972118584846,50391,4503587,2702152200,53623.70661427636,1787.4568871425452,2565,197653,158122400,61646.15984405458,2054.8719948018193,588901,61114986,17107005700,29049.03489720683,968.3011632402278
2018-10-01,174249,16073532,1607353200,9224.461546407727,307.48205154692425,377884,42066975,12620092500,33396.73682929153,1113.2245609763843,30705,3007256,1202902400,39176.108125712424,1305.8702708570809,55579,4975975,2985585000,53717.86106263157,1790.5953687543856,2765,213235,170588000,61695.479204339965,2056.5159734779986,641182,66336973,18586521100,28987.902186898573,966.2634062299525
2018-11-01,170426,15687295,1568729500,9204.754556229684,306.8251518743228,367719,40902310,12270693000,33369.755166309056,1112.3251722103018,29797,2925355,1170142000,39270.463469476796,1309.0154489825597,54547,4860746,2916447600,53466.691110418535,1782.2230370139512,2739,206334,165067200,60265.49835706462,2008.8499452354874,625228,64582040,18091079300,28935.171329499,964.5057109833
2018-12-01,166875,15445463,1544546300,9255.708164794007,308.5236054931336,365489,40952445,12285733500,33614.50960220417,1120.4836534068056,29962,2927926,1171170400,39088.525465589744,1302.9508488529914,54639,4886990,2932194000,53664.854774062485,1788.8284924687496,2707,214162,171329600,63291.318803103066,2109.7106267701024,619672,64426986,18104973800,29217.027395138073,973.900913171269
2019-01-01,173235,15932528,1593252800,9197.060640170866,306.56868800569555,374891,41707072,12512121600,33375.35870426337,1112.5119568087791,30557,2977138,1190855200,38971.600615243646,1299.053353841455,55911,4980383,2988229800,53446.18769115201,1781.5395897050669,2721,208186,166548800,61208.67328188166,2040.2891093960554,637315,65805307,18451008200,28951.159473729633,965.0386491243211
2019-02-01,148813,13677975,1367797500,9191.384489258331,306.3794829752777,324369,35949939,10784981700,33249.11350961405,1108.3037836538017,26254,2551767,1020706800,38878.14428277596,1295.9381427591986,48347,4303503,2582101800,53407.69437607297,1780.2564792024323,2411,186565,149252000,61904.60389879718,2063.4867966265724,550194,56669749,15904839800,28907.69401338437,963.5898004461457
