date,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose_total
2019-01-01,62941,3300992,82524800,1311.145358351472,43.7048452783824,88424,4895008,244750400,2767.918212250068,92.2639404083356,114816,6032210,452415750,3940.3545673076924,131.34515224358975,76132,4148946,414894600,5449.674249986865,181.6558083328955,115555,5663359,849503850,7351.510968802735,245.05036562675784,41658,1957056,391411200,9395.823131211291,313.1941043737097,14448,607581,136705725,9461.913413621263,315.3971137873754,116042,4596264,1378879200,11882.58733906689,396.086244635563,630016,31201416,3951085525,6271.405051617737,209.04683505392455
2019-02-01,54657,2878611,71965275,1316.6707832482573,43.889026108275246,76390,4192778,209638900,2744.3238643801546,91.47746214600515,99541,5238145,392860875,3946.724214142916,131.55747380476387,66096,3597824,359782400,5443.330912611958,181.44436375373195,100118,4901549,735232350,7343.657983579376,244.78859945264588,37166,1728523,345704600,9301.635903783028,310.05453012610093,12582,525328,118198800,9394.277539341918,313.1425846447306,102314,4015395,1204618500,11773.74064155443,392.4580213851477,548864,27078153,3438001700,6263.849879022854,208.79499596742846
2019-03-01,59158,3119043,77976075,1318.0985665505934,43.93661888501978,82942,4598542,229927100,2772.143184393914,92.40477281313046,107477,5646583,423493725,3940.3195567423727,131.34398522474575,72219,3940166,394016600,5455.857876736039,181.86192922453463,109239,5316094,797414100,7299.7198802625435,243.32399600875144,40309,1873936,374787200,9297.85407725322,309.928469241774,13876,576819,129784275,9353.147520899394,311.7715840299798,110508,4337485,1301245500,11775.124877836899,392.5041625945633,595728,29408668,3728644575,6258.971502094916,208.63238340316386
2019-04-01,59041,3094428,77360700,1310.2877661286225,43.67625887095408,82910,4566571,228328550,2753.932577493668,91.79775258312226,107029,5598767,419907525,3923.306066580086,130.77686888600286,72437,3924996,392499600,5418.496072449163,180.61653574830544,108094,5242319,786347850,7274.666956537828,242.48889855126092,40598,1877331,375466200,9248.391546381596,308.27971821271984,14017,574881,129348225,9227.953556395805,307.5984518798602,111092,4346340,1303902000,11737.136787527455,391.23789291758186,595218,29225633,3713160650,6238.320497700002,207.94401659000007
2019-05-01,62670,3305798,82644950,1318.7322482846657,43.957741609488856,88437,4895089,244754450,2767.557131065052,92.25190436883507,114388,6066766,455007450,3977.7550966884637,132.59183655628212,78449,4252000,425200000,5420.081836607223,180.66939455357408,113075,5501168,825175200,7297.591863807208,243.25306212690694,43552,2028387,405677400,9314.782329169728,310.4927443056576,14803,612550,137823750,9310.528271296358,310.3509423765453,116630,4571874,1371562200,11759.943410786247,391.9981136928749,632004,31233632,3947845400,6246.551287650078,208.2183762550026
2019-06-01,58331,3073597,76839925,1317.3085494848365,43.91028498282788,81825,4536912,226845600,2772.326306141155,92.41087687137183,105074,5544622,415846650,3957.655081180882,131.92183603936274,72243,3948457,394845700,5465.521919078665,182.18406396928881,105464,5157827,773674050,7335.906565273458,244.5302188424486,40361,1866285,373257000,9247.962141671416,308.26540472238054,13668,565219,127174275,9304.52699736611,310.15089991220367,107086,4218024,1265407200,11816.737948938237,393.8912649646079,584052,28910943,3653890400,6256.104593426613,208.5368197808871
2019-07-01,61695,3233512,80837800,1310.2812221411784,43.67604073803928,85696,4733495,236674750,2761.7945995145633,92.05981998381877,108994,5745924,430944300,3953.835073490284,131.79450244967612,76059,4129728,412972800,5429.637518242417,180.98791727474725,109670,5351461,802719150,7319.405033281663,243.98016777605545,42572,1957862,391572400,9197.885934416987,306.59619781389955,14201,585920,131832000,9283.289909161327,309.4429969720442,112290,4387315,1316194500,11721.386588298157,390.7128862766052,611177,30125217,3803747700,6223.643396266548,207.4547798755516
2019-08-01,64820,3436156,85903900,1325.2684356680038,44.17561452226679,90262,5012513,250625650,2776.6463184950476,92.55487728316825,114386,6037637,452822775,3958.72549962408,131.957516654136,80601,4414254,441425400,5476.673986675103,182.55579955583678,115437,5639547,845932050,7328.084149795993,244.2694716598664,45138,2086094,417218800,9243.183127298507,308.1061042432836,15157,621969,139943025,9232.8973411625,307.76324470541664,118263,4638315,1391494500,11766.101823900966,392.2033941300322,644064,31886485,4025366100,6249.947365479207,208.3315788493069
2019-09-01,61134,3245541,81138525,1327.2242123859064,44.240807079530214,85678,4757634,237881700,2776.4618688578166,92.54872896192722,106923,5653909,424043175,3965.874274010269,132.19580913367562,76030,4155322,415532200,5465.371563856373,182.17905212854575,107946,5283842,792576300,7342.340614751821,244.74468715839402,42426,1959258,391851600,9236.11936076934,307.87064535897804,14153,577308,129894300,9177.86335052639,305.92877835087967,109668,4298391,1289517300,11758.373454426086,391.94578181420286,603958,29931205,3762435100,6229.63037164836,207.654345721612
2019-10-01,65855,3478877,86971925,1320.6578847467922,44.02192949155974,91810,5111599,255579950,2783.792070580547,92.79306901935156,114357,6041417,453106275,3962.2084787114036,132.0736159570468,81790,4454450,445445000,5446.203692382932,181.54012307943105,116102,5697194,854579100,7360.588964875713,245.3529654958571,45640,2115057,423011400,9268.435582822085,308.94785276073617,15123,619196,139319100,9212.398333663956,307.0799444554652,117185,4558215,1367464500,11669.279344626018,388.9759781542006,647862,32076005,4025477250,6213.479491002714,207.1159830334238
